"name","phoneNumber","address","rating","reviews","services"
"60 Minutes Wash & Dry","072598 45102","211, 6th Main Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029","4.4","85","Services: Ironing,Laundry wash and fold,Special care fabric cleaning,Delivery,General bedding cleaning,Laundry pick-up,Woolen Blankets, Quilts, Bedsheets, curtains, washing service. Clothes are washed, dried & fold in 60 Minutes"
"Chamko Laundry","081973 78069","1/64, 5th Cross Road Achitnagar Soldevanhalli, Post office, near Achitnagar, Bengaluru, Karnataka 560107","4.7","276","Services: Laundry wash and fold,Self-service laundry,Delivery,Ironing Regular Wearables,Regular Wearables,Washing"
"Laundry Guru","063628 50839","1554, 11th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078","4.6","257","Services: Dry Clean,Blankets,Wash and Fold"
"Door To Door Laundry Service","073531 99213","3694, 9th Cross Rd, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560038","4.3","54","N/A"
"Smart Dhobi Express Laundry","070045 38727","#673, 9th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102","4.3","240","Services: Quilt cleaning,Ironing,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Delivery,Dry cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Bulk Washing Services,Cleaning Process,Delivery Services,Dry Cleaning Services,Express Laundry,Fabric Conditioner,Individual Packing,Normal Cleaning,Normal Wash,Premium Laundry,Regular Wash,Spot Treatment,Stain Removal,Wash & Fold,Wash & Iron,Wash Your Clothes,premium laundry"
"CLOTH SHOWER LAUNDRY","080884 72267","Shop No 3 1st Cross, Vinayaka Layout Rd, opp. Valley View Pu College, HV Residence, Krishnarajapuram, Bengaluru, Karnataka 560049","4.7","221","Services: Deep clean,Office and workplace cleaning,Moving-related cleaning,Standard cleaning,Ironing,Laundry wash and fold,Special care fabric cleaning,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,Laundry pick-up,Wedding gown preservation,Blanket (Single),Inner Wear (Wash & Iron),Premium Laundry Service,Premium Washing,Shirt,W-Top,Wash & Iron,Carpet and rug cleaning,Coat & jacket alterations,Jackets,Online dry cleaner booking,Commercial service"
"The LaundroMart","099490 00244","Sri Vinayaka Theatre, 1st cross Thulasi Theatre Road, Opp Apollo pharmacy lane, Marathalli, Road, Marathahalli, Bengaluru, Karnataka 560037","4.5","184","Services: Delivery,Dry cleaning,Special care fabric cleaning"
"James Bond Dry Cleaners - Since 1970 | Carpet Cleaning | Blanket Cleaning | Curtain Cleaning | Darning | Dyeing","096636 68007","202 E/2, 27th Cross, 3rd Block Jayanagar, Opp. Sapna Book House, Bengaluru, Karnataka 560011","4.7","554","Services: Eco-friendly cleaning,Carpet and rug cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,Alterations,General bedding cleaning,Bed Sheets,Carpet Cleaning,Cleaning And Ironing,Cleaning And Laundry,Cleaning Business,Cleaning Services,Clothes Dry Cleaning,Collection Service,Curtain Cleaning,Cushion Covers,Darning,Darning Services,Dropping Off,Dry Cleaning Linen,Dyeing,Fabric Care,Formal Wear,Garment Care,Home Linen,Home Pick Up,Jeans Pants,Laundry And Pressing,Laundry Pick-Up,Linen Cleaning,Mens Wear,Normal Cleaning,Pick And Drop,Pick Up And Drop,Regular Cleaning,Saree Dyeing,Saree Polishing,Saree Printing,Shoe Dry Cleaning,Shoe Laundry,Silk Sarees,Silk Shirts,Sofa Cleaning,Specialized Cleaning,Sustainable Service,Tailoring Services,Upholstery Cleaning,Water Cleaning,Wedding Gowns,Drapes and curtain cleaning"
"Snoways Laundry & Dry Cleaners","080 4206 6280","No18, 1, Andree Rd, near Axis Bank, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027","3.9","28","N/A"
"Cleanovo - Dry cleaning & laundry, Residency Road","080 4160 4547","Shop No. B8, Devatha Plaza, Residency Road Near Bangalore Club, Bengaluru, Karnataka 560025","3.2","60","Services: Clothes pressing,Carpet and rug cleaning,Coat & jacket alterations,Delivery,Drapery & window cover cleaning,Alterations,Laundry pick-up,Wedding dress cleaning,Alteration,Bag Cleaning,Bed Linen,Bridal Dress,Cleaning & Ironing,Cotton Saree,Delivery Service,Designer Wear,Dry Clean & Laundry Service,Dry Cleaned Clothes,Home Linen,Home Washing,Laundry Pick Up,Laundry Room,Leather Bags,Online Laundry Service,Pick Up Call,Regular Cleaning,Roll Press,Shoes Cleaning,Silk Saree,Sofa Cleaning,Stain Removing,Steam Press,Washing Clothes,Washing Machines,Wet Cleaning,Woollen Garments"
