"name","phoneNumber","address","rating","reviews","services"
"The Laundry Hub","N/A","Malad, Ambewadi, Malad East, Mumbai, Maharashtra 400097","4.7","103","Services: Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Laundry pick-up,Carpet cleaning,Cleaning Products,Clothes Clean,Commercial Laundry,Deep Cleaning,Express Laundry,Express Service,Home Services,House Hold,Kg Wash,Laundry & Dry Cleaning Service,Laundry Pickup,Laundry Wash & Iron,Leather Shoes,Mens Clothes,Non Wearables,Pickup And Delivery,Premium Laundry,Pressing Services,Regular Washing,Saree Ironing,Shoe Cleaning,Shoe Laundry,Shoe Washing,Shoes Clean,Shoes Laundry,Specialized Cleaning,Stain Removal,Trusted Laundry Service,Wash & Fold,Wash & Iron,Wash And Iron,Washing Clothes,We Clean Your Clothes,Woolen Clothes"
"German Laundry Express Clean","022 2352 2255","007, “A” Wing, Poornima Apartments, 23rd, Pedder Rd, IT Colony, Tardeo, Mumbai, Maharashtra 400026","4.7","42","Services: Ironing,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Stain Removal,Steam Press,Wet Cleaning,Area rug cleaning,General carpet cleaning,Upholstery cleaning,Drapes and curtain cleaning,Pet stain and odour removal"
"Krishna Power Laundry.","098212 56124","Shop No.5,Building No:17/B, Sai Vaishali Apartment, Haji Zahoor Qureshi Marg, Vaishali Nagar, Jogeshwari West, Mumbai, Maharashtra 400102","4.8","71","Services: Industrial laundry,Quilt cleaning,Clothes pressing,Ironing,Carpet and rug cleaning,Couches/sofas,Special care fabric cleaning,Leather and suede cleaning,Jackets,Hat cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding dress cleaning,General clothes drying,Shoes"
"Dhobi Ghar Tak","074001 55190","Room:1 Chawl:14, Dr Baba Saheb Ambedkar Rd, Matunga Labour Camp, Mumbai, Maharashtra 400019","4.9","54","Services: Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,B2b Services,Carpet Cleaning,Clothes Dry Cleaning,Color Dyeing,Commercial Laundry Service,Dry Cleaning & Laundry Dry Cleaning,Dry Cleaning Washing,Easy Life Solutions,Express Laundry,Garments Washed,German Eco Friendly Cleaning Solutions,Hand Washing,Health Care,Home Linen,Hospital Laundry,Iron Clothes,Kg Washing,Laundry Clothes,Laundry Wash & Fold,Laundry Wash & Iron,Pick & Drop,Pickup And Drop,Premium Iron Ironing,Shoes Cleaning,Special Care,Stain Removal,Washing Clothes,airport laundry services,blazer dryclean,carpet cleaning,commercial laundry service,curtain dry cleaning,express delivery laundry service,factory laundry services,guest laundry services,home delivery laundry service,home laundry services,hospital laundry services,hostel laundry services,hotel laundry services,premium dry clean services,restaurant laundry services,same day laundry,shirt laundry,shoe cleaning,Party dress cleaning,Baby clothes cleaning,laundry services for gym"
"Santosh Laundry","098206 66470","Shop No - 1, Opp Green Court Building, C.D Barfiwala Marg, Juhu Ln, Andheri West, Mumbai, Maharashtra 400058","4.8","62","Services: Clothing alterations & repairs,Quilt cleaning,Delivery,Drapery & window cover cleaning,Dry cleaning,General bedding cleaning"
"Babulal Power Laundry & Dry Cleaner","087887 32833","Shops . no.1, Shah Colony Rd, Saikrupa Society, Indira Nagar, Gilbert Colony, Kanjurmarg East, Mumbai, Maharashtra 400042","4.9","64","Services: Laundry pick-up,Delivery,Dry cleaning,Ironing,Special care fabric cleaning,Laundry wash and fold,Roll press,Wash & Fold,Wash & iron services,Laundry by kg,Laundry by kilo,Curtain cleaning,Steam Ironing,Self-service laundry"
"Blue Angel Dry Cleaners & Dyers","022 6633 4421","No. 5/ 7, Sonawala Buildings, Talmakiwadi, Tardeo, Mumbai, Maharashtra 400007","4.3","93","Services: Organic dry cleaning,Quilt cleaning,Clothes pressing,Ironing,Carpet and rug cleaning,Special care fabric cleaning,Leather and suede cleaning,Delivery,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Wedding dress cleaning,Antique Chinese Gharas & Zari Polishing,Ball Gown,Curtains, Carpets And Upholstery Cleaning,Designer Clothes,Designer Wear Drycleaning,Dry Cleaning Process,Dyeing Services,Free Pick Up And Delivery,Indian Ethnic Wear Ofexclusive & Designer Labels,Kids Wear & Soft Toys,Laundering Services,Leather Items,Ourservices,Personalised Dry Cleaning,Pickup And Delivery,Shoes, Bags & Leather Care,Specialist Cleaning Service,Stain Removal,Steam Press,Thorough Cleaning,Wedding Outfit,Whitening & Starching"
"IRON & SHINE Laundry","086575 99754","Shop No. 1710, Dr, Sadhu Vaswani Marg, Babasaheb Ambedkar Nagar, Cuffe Parade, Mumbai, Maharashtra 400005","4.8","155","Services: Quilt cleaning,Ironing,General clothes drying,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Cleaned And Ironed,Clothes Washed,Curtain Cleaning Service,Curtains & Home Linens,Express Service,Fabric Care,Free drop,Free pickup,Garment Care,Hand Wash,Handbag & Shoe Cleaning,Industry Dry Cleaning,Leather Care,Luxury Services,Pick And Drop,Pick Up Service,Premium Service,Press/Iron Only,Repair & Alteration,Stain Removal,Standard Service,Thorough Cleaning,Wedding Outfit Cleaning,Wet Cleaning"
"Rachana Laundry","098190 17674","Shop No.1, UNO Shelter, Match Factory Ln, opposite to Omkar Meridia, BMC Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070","4.9","111","Services: Clothing alterations & repairs,Dry cleaning,Ironing,Leather and suede cleaning,Self-service laundry,Special care fabric cleaning,Laundry wash and fold,Washing,Shoe Cleaning,Industrial Laundry,Rafoo,Dyeing,Petrol Wash,Roll Press,Steam Press,Heavy Boiler Steam Ironing,Soft Toys and Bags Washing,Carpets & Curtains"
"Spin N Press - Dry Cleaning and Laundry Services","075060 91467","Shop 18/19, Ground Floor, NM Joshi Marg, opp. Deepak Cinema, Elphinstone (W), Saidham Nagar, Lower Parel, Mumbai, Maharashtra 400013","4.9","66","Services: Clothes pressing,Ironing,Laundry wash and fold,Carpet and rug cleaning,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Laundry pick-up,Wedding dress cleaning,Cleaning And Pressing,Cleaning Apparel,Cleaning Ironing,Clothes Dry Cleaned,Dry Cleaning & Laundry,Express Drycleaning,Free Pickup,Garment Care,Home Pick Up,Leather Bag,Leather Shoes,Party Dress,Pick Up And Delivery,Pick Up And Drop,Pickup And Deliver,Request Pickup,Saree Plain,Shoe & Bag Cleaning,Shoe Laundry,Stain Removal,Sustainable Laundry"
