"name","phoneNumber","address","rating","reviews","services"
"The Classy Drycleaning Service - Dry Clean ll Laundry service in Gurgaon","077038 90455","Shop No.5, YADAV MARKET, opp. Ultimate Gym, Orchid Island, Sector 51, Gurugram, Samaspur, Haryana 122022","4.9","42","Services: Eco-friendly cleaning,Organic dry cleaning,Quilt cleaning,Clothes pressing,Ironing,Clothing alterations & repairs,Laundry wash and fold,Car wash,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,Alterations,General bedding cleaning,Laundry pick-up,Commercial service,Wedding gown preservation,Wedding dress cleaning,General clothes drying"
"The Angel Laundry - Dry clean in Sector 53 Gurgaon","085888 31107","Saraswati kunj, plot No 1457, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011","4.4","37","Services: Quilt cleaning,Ironing,General clothes drying,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Delivery,Dry cleaning,Drapery & window cover cleaning,Laundry pick-up,Wedding gown preservation,Best dry cleaner,Best laundry service,Near by clean shop,Near by dry cleaner,Near by laundry services,Shoes and curtain wash and dryclean"
"Wash Hub - Best Dry Cleaner | Best Dry Cleaning | Best Laundry Services | Best Steam Press | Golf course road Gurgaon","095640 99000","882, Golf Course Rd, Sector 43, Gurugram, Haryana 122001","4.8","18","Services: Clothes pressing,Carpet and rug cleaning,Couches/sofas,Wedding gown preservation"
"Samrat Dry Cleaners","098999 50707","Shop No. 1, Near Jain Sthanak, Opposite St.Crispin's School, Mission School, New Railway Road, Gurugram, Haryana 122001","4.7","67","Services: Carpet and rug cleaning,Couches/sofas,Special care fabric cleaning,Jackets,Online dry cleaner booking,Blanket Dry Cleaning,Carpet Dry Cleaning,Chair Dry Cleaning,Curtains Cleaning,Curtains Dry Cleaning,Premium Dry Cleaning,Sofa Dry Cleaning,Steam Cleaning"
"Better wash laundry-Dry Cleaner Service In Sector 14 Gurgaon- Dry Clean Service Gurgaon","099116 09160","Gali No. 12, near Atul Kataria Chowk, Sukhrali Enclave, Sector 29, Gurugram, Haryana 122001","4.7","32","Services: Ironing,Laundry wash and fold,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Baby clothes cleaning,Laundry pick-up,Baby Clothes Cleaning,Carpet Care,Cleaning Cleaning,Clothes Washed,Curtains Care,Inspection & Sorting,Laundry And Dry,Online Laundry,Premium Laundry,Shoes Dryclean,Sofa Dryclean,Upholstery Dry Cleaning,Wash & fold,Wash & iron,Wash And Iron,Washing Machine"
"Shree Sai Drycleaner & laundry","099718 15507","7 Chowk, Dayanand Colony, Sector 4, Gurugram, Haryana 122001","5.0","63","Services: Ironing,Laundry wash and fold,Carpet and rug cleaning,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Alterations,Laundry pick-up,Commercial service,Wedding gown preservation"
"Fine Laundry & Dryclean Service","083778 47147","E-176, near Dinesh Tour & Travels, DLF Phase 5, Sector 43, Gurugram, Haryana 122001","5.0","26","Services: Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Laundry pick-up,Bathroom Cleaning,Blanket Double,Blanket Single,Carpet Dry Cleaning,Carpet Dryclean,Choose Services,Clean Your,Custom Laundry,Door Delivery,Dry Clean Wash,Exp. Wash & Fold,Exp. Wash & Iron,Ezee Wash & Iron,Free Pickup,House Cleaner,House Cleaning,House Fixing,Household Service,Indoor Cleaning,Laundry & Dry Clean,Laundry And Drycleaning,Laundry Wash & Fold,Laundry Wash & Iron,Leather Drycleaned,Our Cleaners,Outdoor Cleaning,Pickup Picking & Dropping,Plumbing Services,Premium Dry Cleaning,Premium Laundry,Proper steam press,Quick Laundry,Shoes Dry Cleaning,Shoes Dryclean,Sofa Dry Cleaning,Sofa Dryclean,Super Express Wash & Fold,Super Express Wash & Iron,Toilet Cleaning,Wash & Steam Iron,Window Cleaning"
"JMD Dry Cleaners | Best Dry Cleaners In Gurgaon","093193 54648","589/20, Shop No, 1, Basai Rd, Vir Nagar, Model Town, Sector 8, Gurugram, Haryana 122022","4.9","87","Services: Clothes pressing,Ironing,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Wedding dress cleaning,Bed Cover,Bed Linen,Bed Sheet,Carpet Cleaning,Cleaning And Ironing,Clothes Clean,Curtain Per Panel,Curtains & Bed Linen,Double Bed Blanket,Double Blanket,Dress Cleaning,Evening Gown,Free Pick Up & Delivery,Free Pick Up And Delivery,General Dry Cleaning,Gents Suit,Ironing Services,Laundry,Men's Clothing,Preservation Service,School Bags,Silk Saree,Single Blanket,Sofa Dry Cleaning,Suit Dry Cleaning,Wedding Dress Cleaning,Women Clothing,Women's Clothing,Woolen Clothes,car dry cleaning"
"DhobiLite Dry-Cleaning & Laundry","088004 14848","118, Huda Market Rd, Sector 15 Part 2, Sector 15, Gurugram, Haryana 122001","4.6","62","Services: Dry cleaning,Laundry pick-up,Laundry wash and fold,Online dry cleaner booking,Organic dry cleaning"
"Ecowash Gurgaon - Laundry service in Gurgaon","097179 75770","Shop no. 2, Mata wali Gali, Sector 17A, Sector 17, Gurugram, Haryana 122001","4.6","154","Services: Quilt cleaning,Ironing,General clothes drying,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Dry Cleaning,Home Laundry,Kg Wash,Laundry Pickup,Premium Laundry,Pressing Service,Wash & Fold,Wash & Iron"
